#Filename       start    end       CORR  B     Seq   Keep?  PUMP  Astart  Aend   Bstart Bend   ChUpdate   Gas    B_Servo   HV    HVS   OTop  MTop  MBot  OBot   Others
323-470         323      470       2     1     1     1      45    65      85     245    275    1          100    1         10    30    15    14    12    11
634-880         634      880       2     1     1     1      45    65      85     245    275    1          100    1         10    30    15    14    12    11
882-912         882      912       4     1     1     1      45    65      85     245    275    1          100    1         10    30    15    14    12    11
920-1147        920      1147      2     1     1     1      45    65      85     245    275    1          100    1         06    30    15    14    12    11
1181-1211       1181     1211      4     1     1     1      45    65      85     245    275    1          100    1         06    30    15    14    12    11
1221-1308       1221     1308      2     1     1     1      45    65      85     355    385    1          100    1         06    30    15    14    12    11
1664-1911       1664     1911      2     1     1     1      45    65      85     265    295    1          70     1         06    30    15    14    12    11
1912-1932       1912     1932      4     1     1     1      45    65      85     265    295    1          70     1         06    30    15    14    12    11
1984-2092       1984     2092      2     1     1     1      45    65      85     265    295    1          70     1         10    30    15    14    12    11
2096-2373       2096     2373      2     1     1     1      45    65      85     265    295    1          70     1         10    30    15    14    12    11
2374-2422       2374     2422      4     1     1     1      45    65      85     265    295    1          70     1         10    30    15    14    12    11
2423-2591       2423     2591      2     1     1     1      45    65      85     265    295    1          70     1         06    30    15    14    12    11
2631-2653       2631     2653      4     1     1     1      45    65      85     265    295    1          70     1         06    30    15    14    12    11
2662-2906       2662     2906      2    -1     1     1      45    65      85     265    295    1          70     1         10    30    15    14    12    11
2907-2941       2907     2941      4    -1     1     1      45    65      85     265    295    1          70     1         10    30    15    14    12    11
3025-3275       3025     3275      2    -1     1     1      45    65      85     265    295    1          40     1         10    30    15    14    12    11
3276-3313       3276     3313      4    -1     1     1      45    65      85     265    295    1          40     1         10    30    15    14    12    11
3322-3554       3322     3554      2    -1     1     1      45    65      85     265    295    1          70     1         06    30    15    14    12    11
3555-3573       3555     3573      4    -1     1     1      45    65      85     265    295    1          70     1         06    30    15    14    12    11
3595-3846       3595     3846      2    -1     1     1      45    65      85     245    275    1          20     1         06    30    15    14    12    11
3847-3868       3847     3868      4    -1     1     1      45    65      85     245    275    1          20     1         06    30    15    14    12    11
3899-4153       3899     4153      2    -1     1     1      40    60      80     240    270    1          20     1         10    05    15    14    12    11
4154-4175       4154     4175      4    -1     1     1      40    60      80     240    270    1          20     1         10    05    15    14    12    11
4184-4461       4184     4461      2    -1     1     1      40    60      80     240    270    1          20     1         06    05    15    14    12    11
4462-4477       4462     4477      4    -1     1     1      40    60      80     240    270    1          20     1         06    05    15    14    12    11
4482-4785       4482     4785      2    -1     1     1      40    60      80     240    270    1          20     1         10    05    15    14    12    11
4786-4808       4786     4808      4    -1     1     1      40    60      80     240    270    1          20     1         10    05    15    14    12    11
4815-4977       4815     4977      2    -1     1     1      40    60      80     240    270    1          20     1         06    05    15    14    12    11
5047-5082       5047     5082      4    -1     1     1      40    60      80     240    270    1          20     1         06    05    15    14    12    11
5103-5342       5103     5342      2     1     1     1      40    60      80     240    270    1          20     1         10    05    15    14    12    11
5343-5365       5343     5365      4     1     1     1      40    60      80     240    270    1          20     1         10    05    15    14    12    11
5369-5633       5369     5633      2     1     1     1      35    55      75     235    265    1          40     1         06    05    15    14    12    11
5634-5661       5634     5661      4     1     1     1      35    55      75     235    265    1          40     1         06    05    15    14    12    11
5664-5820       5664     5820      2     1     1     1      40    60      80     240    270    1          20     1         10    05    15    14    12    11
5957-5989       5957     5989      4     1     1     1      40    60      80     240    270    1          20     1         10    05    15    14    12    11
5990-6240       5990     6240      2     1     1     1      40    60      80     240    270    1          20     1         10    05    15    14    12    11
6241-6281       6241     6281      4     1     1     1      40    60      80     240    270    1          20     1         10    05    15    14    12    11
6287-6583       6287     6583      2     1     1     1      40    60      80     240    270    1          20     1         06    05    15    14    12    11
6584-6627       6584     6627      4     1     1     1      40    60      80     240    270    1          20     1         06    05    15    14    12    11
6635-6909       6635     6909      2    -1     1     1      40    60      80     240    270    1          20     1         10    30    15    14    12    11
6910-6939       6910     6939      4    -1     1     1      40    60      80     240    270    1          20     1         10    30    15    14    12    11
6947-7134       6947     7134      2    -1     1     1      35    60      80     240    270    1          20     1         06    30    15    14    12    11
7195-7227       7195     7227      4    -1     1     1      40    60      80     240    270    1          20     1         06    30    15    14    12    11
7233-7502       7233     7502      2    -1     1     1      40    60      80     240    270    1          100    1         10    30    15    14    12    11
7503-7535       7503     7535      4    -1     1     1      40    60      80     240    270    1          60     1         10    30    15    14    12    11
7540-7790       7540     7790      2    -1     1     1      40    60      80     240    270    1          100    1         06    05    15    14    12    11
7790-7822       7790     7822      4    -1     1     1      40    60      80     240    270    1          100    1         06    05    15    14    12    11
7845-8079       7845     8079      2     1     1     1      40    60      80     240    270    1          60     1         06    30    15    14    12    11
8080-8111       8080     8111      4     1     1     1      40    60      80     240    270    1          60     1         06    30    15    14    12    11
8136-8374       8136     8374      2     1     1     1      40    60      80     240    270    1          60     1         10    30    15    14    12    11
8375-8398       8375     8398      4     1     1     1      40    60      80     240    270    1          60     1         10    30    15    14    12    11
8404-8577       8404     8577      2     1     2     1      40    60      80     240    270    1          70     1         06    30    15    12    14    11
8670-8856       8670     8856      2     1     2     1      40    60      80     240    270    1          70     1         06    30    15    12    14    11
8919-8952       8919     8952      4     1     2     1      40    60      80     240    270    1          70     1         06    30    15    12    14    11
8960-9212       8960     9212      2     1     2     1      40    60      80     240    270    1          70     1         10    30    15    12    14    11
9213-9245       9213     9245      4     1     2     1      40    60      80     240    270    1          70     1         10    30    15    12    14    11
9260-9534       9260     9534      2     1     2     1      40    60      80     240    270    1          10     1         10    30    15    12    14    11
9535-9567       9535     9567      4     1     2     1      40    60      80     240    270    1          10     1         10    30    15    12    14    11
9571-9737       9571     9737      2     1     2     1      40    60      80     240    270    1          10     1         06    05    15    12    14    11
